product_id,mpn,brand,manufacturer,product_type,size,quantity,material
PROD-0489,571497,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0490,576306,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,4.0,
PROD-0491,588533,nan,Phillips Lighting,LED Light Bulbs,nan,3.0,
PROD-0492,576520,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0493,574004,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0494,574012,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0495,573971,nan,Phillips Lighting,LED Light Bulbs,nan,4.0,
PROD-0496,573989,nan,Phillips Lighting,LED Light Bulbs,nan,4.0,
PROD-0497,576769,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0498,567446,nan,Phillips Lighting,LED Light Bulbs,nan,3.0,
PROD-0499,573997,nan,Phillips Lighting,LED Light Bulbs,nan,4.0,
PROD-0500,571463,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0501,576512,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0502,581181,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0503,GT-CB-100C,GT-Lite,Keystone,Light Bulbs,nan,nan,
PROD-0504,566430,nan,Phillips Lighting,LED Light Bulbs,nan,4.0,
PROD-0505,568337,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0506,565788,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,Zirconia
PROD-0507,565770,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0508,573436,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0509,576538,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0510,573451,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0511,586883,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,2.0,
PROD-0512,586859,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0513,576488,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0514,575217,nan,Phillips Lighting,LED Light Bulbs,3/4 in x 18 in,2.0,
PROD-0515,586479,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0516,571471,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0517,570762,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,3.0,
PROD-0518,533352,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0519,573519,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,2.0,
PROD-0520,573378,nan,Phillips Lighting,LED Light Bulbs,nan,3.0,
PROD-0521,565622,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0522,586891,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0523,585448,nan,Phillips Lighting,Light Bulbs,nan,nan,
PROD-0524,573444,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0525,566687,nan,Phillips Lighting,Light Bulbs,nan,3.0,
PROD-0526,564385,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0527,566661,nan,Phillips Lighting,LED Light Bulbs,nan,3.0,
PROD-0528,564898,nan,Phillips Lighting,Light Bulbs,nan,3.0,
PROD-0529,538319,nan,Phillips Lighting,LED Light Bulbs,nan,3.0,
PROD-0530,576009,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0531,564450,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0532,572669,nan,Phillips Lighting,LED Light Bulbs,nan,nan,
PROD-0533,564906,nan,Phillips Lighting,LED Light Bulbs,nan,2.0,
PROD-0534,573410,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,2.0,
PROD-0535,576504,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0536,576017,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0537,574392,nan,Phillips Lighting,Lighting & Electrical Supplies,nan,3.0,
